sequenceId,ParameterKey,ParameterValue
1_3B,psy_safe,3.8838095238095236
1_3C,expgroup,Feedback
1_3C,repmark,60.71
1_3C,presmark,17.75
1_3C,teammark,72.54333333333334
1_3C,airtime_evenness,-5.825372834651041
1_3C,psy_safe,3.4654761904761906
1_3D,expgroup,Feedback
1_3D,repmark,55.1
1_3D,presmark,21.25
1_3D,teammark,69.26666666666667
1_3D,airtime_evenness,-8.164387501287447
1_3D,psy_safe,4.32063492063492
1_3E,expgroup,Feedback
1_3E,repmark,53.13999999999999
1_3E,presmark,22.25
1_3E,teammark,67.97333333333334
1_3E,airtime_evenness,-8.656195497806905
1_3E,psy_safe,4.603571428571429
1_3F,expgroup,Feedback
1_3F,repmark,50.16
1_3F,presmark,16.5
1_3F,teammark,61.15999999999999
1_3F,airtime_evenness,-9.267887614554816
1_3F,psy_safe,4.4
1_4A,expgroup,Control
1_4A,repmark,54.1
1_4A,presmark,19.33333333
1_4A,teammark,66.98888888666669
1_4A,airtime_evenness,-10.833870112673726
1_4A,psy_safe,4.3952380952380965
1_4B,expgroup,Control
1_4B,repmark,53.09000000000001
1_4B,presmark,19.5
1_4B,teammark,66.09000000000002
1_4B,airtime_evenness,-13.281695372142572
1_4B,psy_safe,4.322857142857143
1_4C,expgroup,Control
1_4C,repmark,49.49
1_4C,presmark,17.0
1_4C,teammark,60.82333333333333
1_4C,airtime_evenness,-9.19607352321689
1_4C,psy_safe,4.177142857142857
1_4D,expgroup,Control
1_4D,repmark,43.44
1_4D,presmark,17.83333333
1_4D,teammark,55.32888888666667
1_4D,airtime_evenness,-14.687403006729454
1_4D,psy_safe,4.142857142857143
1_4E,expgroup,Control
1_4E,repmark,46.27
1_4E,presmark,20.5
1_4E,teammark,59.93666666666667
1_4E,airtime_evenness,-8.567348867622778
1_4E,psy_safe,4.42047619047619
1_5A,expgroup,Reflection
1_5A,repmark,41.949999999999996
1_5A,presmark,15.0
1_5A,teammark,51.949999999999996
1_5A,airtime_evenness,-10.110024826729635
1_5A,psy_safe,4.036666666666666
1_5B,expgroup,Reflection
1_5B,repmark,46.9
1_5B,presmark,22.5
1_5B,teammark,61.9
1_5B,airtime_evenness,-11.916694818219629
1_5B,psy_safe,4.252380952380952
1_5C,expgroup,Reflection
1_5C,repmark,38.98
1_5C,presmark,15.5
1_5C,teammark,49.31333333333333
1_5C,airtime_evenness,-7.850089249310696
1_5C,psy_safe,4.533333333333334
1_5D,expgroup,Reflection
1_5D,repmark,43.199999999999996
1_5D,presmark,19.5
1_5D,teammark,56.199999999999996
1_5D,airtime_evenness,-8.019689192839035
1_5D,psy_safe,4.303809523809524
1_5F,expgroup,Reflection
1_5F,repmark,34.42000000000001
1_5F,presmark,13.0
1_5F,teammark,43.08666666666667
1_5F,airtime_evenness,-7.034096136207977
1_5F,psy_safe,4.2523809523809515
2_18A,expgroup,Feedback
2_18A,repmark,41.62
2_18A,presmark,18.0
2_18A,teammark,53.62
2_18A,airtime_evenness,-11.31509143468192
2_18A,psy_safe,3.719047619047619
2_18B,expgroup,Feedback
2_18B,repmark,40.51
2_18B,presmark,22.33333333
2_18B,teammark,55.39888888666666
2_18B,airtime_evenness,-12.719687433050716
2_18B,psy_safe,4.554380952380952
2_18C,expgroup,Feedback
2_18C,repmark,41.76
2_18C,presmark,18.33333333
2_18C,teammark,53.98222221999999
2_18C,airtime_evenness,-11.928964662675053
2_18C,psy_safe,4.12
2_18D,expgroup,Feedback
2_18D,repmark,54.67000000000001
2_18D,presmark,17.66666667
2_18D,teammark,66.44777778000001
2_18D,airtime_evenness,-8.860539914712719
2_18D,psy_safe,4.061904761904762
2_18E,expgroup,Feedback
2_18E,repmark,42.72
2_18E,presmark,16.33333333
2_18E,teammark,53.608888886666655
2_18E,airtime_evenness,-9.813003659928242
2_18E,psy_safe,4.286190476190477
2_21B,expgroup,Control
2_21B,repmark,47.5
2_21B,presmark,18.16666667
2_21B,teammark,59.61111111333333
2_21B,airtime_evenness,-8.3544059035771
2_21B,psy_safe,4.0
2_21C,expgroup,Control
2_21C,repmark,57.73
2_21C,presmark,15.66666667
2_21C,teammark,68.17444444666667
2_21C,airtime_evenness,-3.3760258071050977
2_21C,psy_safe,
2_21D,expgroup,Control
2_21D,repmark,54.42000000000001
2_21D,presmark,20.16666667
2_21D,teammark,67.86444444666667
2_21D,airtime_evenness,-9.754009396004381
